Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
0.3877855591,,0.1449718542,,0.5617715618,0.004651162791,0.5929598779,0.6139859159,0.04665296524,0.4564494053,0.2407090916,0.25,0.3183644443,0.9431182083,0.8571428571,,0.4493336164,0.4939230248,0.5240510447,0.8676222975,0.98970361,0.007503435057,0.4081676577,0.006454841846,,1.0,,0.3958131976,,0.4026710654,0.6025060998,0.5108445842,,0.3977292453,0.8311904107,0.9999611926,0.0117904206
0.4414263632,0.9930109542,0.2693368699,0.2594895525,,0.2558139535,0.1430585908,0.1086471199,0.3394488981,0.5354046225,0.7844142816,,0.6592041327,0.04921688595,0.5714285714,0.01484578826,0.4425552282,0.1406925829,0.7732841236,0.7321885087,0.8935666315,0.7886944491,0.1200885707,0.8885974947,0.0,0.0,0.779299551,0.4374787718,0.4058158461,0.5370151546,,0.5103977509,,,,0.6904057385,
0.5106309851,,0.8212012964,0.09724679719,,0.7465116279,0.4395690904,0.7197167156,0.209251269,0.9776474001,0.4215527849,0.5,0.6870631187,0.9786910402,0.0,0.781508725,0.9715963367,0.1900001,,0.2789215425,,0.1501679706,,0.1604101127,0.5,0.5,0.4684735536,0.2702657171,0.6739152058,0.1628386669,0.7345506924,0.3465419273,0.5242867281,0.1741547885,,0.9808868084,
0.4171541912,0.4762882241,0.6276750697,0.7519164304,,0.588372093,0.8854624138,0.05606520483,0.5327456141,,0.9688420793,0.75,0.514992469,,0.0,0.4144806507,,0.4549194132,0.9143688227,,0.7955093938,0.8831722511,0.8391744865,0.5557770692,,0.5,0.444238309,0.1478014678,0.5269251235,,,0.284428211,0.4871098008,0.3066552809,0.6779132907,0.4135742149,0.9987309319
0.06313070558,0.8064156304,0.05403477202,,,0.6534883721,0.6650421053,,0.7986621075,,0.459352182,0.75,0.6962693173,,0.1428571429,0.9774050495,0.9467453844,0.2730580298,0.7782159389,0.1173918657,0.1555980057,0.4630906115,,0.3616230052,0.5,0.5,,0.3566909816,0.5530480775,0.3786865587,0.4305052854,0.5240899125,0.6253314087,0.4214926711,,0.8187180949,0.7375440299
0.1182127433,0.6744777823,0.4434828663,,0.08857808858,0.01627906977,0.2700201968,0.6590229292,0.4573464899,0.2191449548,0.4250865289,0.25,,0.1465787876,0.5,,0.3058641759,0.9873058697,0.9039947454,0.02754535513,0.2892780525,0.361370434,0.1975753058,0.09981696505,1.0,0.5,0.7477720999,,0.5871749398,0.1314884496,0.4791476984,0.1639825709,0.6255191026,0.1510130711,0.3915794786,0.919274974,
0.9617231458,0.3053077533,,,,0.08139534884,,0.2989804566,0.04981591209,0.7260921968,0.4352517373,,0.9339151948,0.260388701,,0.7241373624,0.6919174826,0.3508929078,0.007139997498,0.3243128286,0.5849098628,,,,,1.0,0.1889395171,0.1616060103,0.5982633319,0.1296245086,0.6970041596,0.4381689228,0.4696205076,,0.2879479008,0.529972258,0.9874208165
0.1753265258,0.5034958301,,0.1882143599,0.5710955711,0.9511627907,0.2713625307,0.6527481994,0.5207155992,,0.3464981443,0.9166666667,,0.5552174278,0.9285714286,0.08279436275,0.4743507891,,0.8051445014,0.8403246334,,,0.3469879679,0.1760882,0.0,0.0,0.5922769094,0.198190997,0.3224879673,0.1331586908,0.410999837,0.3003119511,0.3854589556,,0.6281104863,0.9015457886,0.5670913423
0.4681118304,,0.3554563859,0.1070347948,,0.3255813953,0.904386683,0.3914854401,,0.4187191074,0.03378057047,0.9166666667,0.3748932329,0.6000910228,0.9285714286,0.359856654,0.5512982214,0.2774116847,0.3144962467,,0.1033649543,0.9831003285,0.571681364,0.2705313733,1.0,1.0,0.4131466356,,,0.3399328239,0.5866864769,0.4546611426,0.4448402567,,0.6067984056,,0.9291721312
0.564784163,0.7624430288,0.9280234908,0.5191280899,0.6456876457,0.8511627907,0.688126975,0.2360356209,,,0.7313306281,1.0,0.956844927,0.1371024234,0.6428571429,0.5011996537,0.6023447091,,0.186908545,0.9962793639,0.6945987708,0.918317459,0.2003389745,0.5076843219,,0.5,0.2276553925,0.156522732,0.4882382987,0.3442700671,0.7561433025,0.366990254,0.302318494,0.3187467425,0.8160569742,0.08931404806,0.7756500947
0.555983706,0.9416998545,0.7661541256,0.5971424353,0.3496503497,0.923255814,,0.7975498102,0.06369161368,0.6282882345,0.603792655,,0.4144479599,,,0.7650174618,0.3391182708,0.2304218927,,0.8550585631,,0.07721016538,0.5099878785,0.5522986902,0.0,0.5,0.4673883136,,0.523410672,,,0.4949648283,0.3743714793,0.4458455205,0.4849041741,0.9931257942,
0.7052155803,0.07703854433,0.0839400514,,0.4055944056,0.6953488372,0.6788819384,0.9549856922,0.0,0.6082526077,0.7026674536,0.08333333333,0.03967567337,0.9538749779,0.5,0.2320665022,0.1032589213,,,0.1487743244,0.4950459212,0.6992450271,0.4341366086,0.5145221072,,0.5,0.4136648213,,0.9774521749,0.1825610393,0.7737463679,0.4238682161,0.829650577,0.1265228305,0.5844590826,0.976037363,0.2898251568
0.01668684634,0.03186116025,0.5333067032,0.2064213869,0.6317016317,,0.1905178924,0.3713760531,,0.1496075732,0.5102493094,0.25,0.304500683,0.1769915816,0.5714285714,0.7498689627,0.3295457777,,0.9365907669,0.9870989842,,0.4878974776,0.8710290182,0.6994434594,0.5,0.5,0.534533164,0.1035696486,,0.07328127201,0.4100077952,,0.8642406074,0.07845575248,0.01218438778,0.7452126177,0.839318157
0.9352713075,,0.8221418152,0.4266047836,0.958041958,0.9325581395,0.338752735,0.8137715493,0.02315120849,0.8350785875,0.5735893808,0.9166666667,0.4417678205,0.2542417249,0.2857142857,0.3900245584,,0.8864197984,0.6844201176,,0.8483685298,0.3241445764,0.9426917133,0.4490236229,,1.0,0.2684179976,0.04558241026,0.6997822456,0.08065811754,,0.1728429921,0.615046129,0.0654160291,0.4475932391,0.966971972,0.3388449126
,0.25190543,,0.9124686226,0.4079254079,0.1441860465,,0.4600026045,0.0,0.6618624851,0.4496330092,0.5833333333,,0.5536034471,0.9285714286,0.6202109553,0.8776677875,,0.8586350557,0.8680544393,,,,0.3172181548,0.0,0.5,0.6640105888,0.3011343212,0.4343066236,0.2990096028,0.673099537,0.355249427,0.3067864891,0.3015919058,0.6782360362,0.8968084935,
,0.6496845343,0.3016492695,0.7754466665,,0.02558139535,0.8271198204,0.8353310828,0.105929674,0.2716484379,0.7214750916,0.75,0.5342419754,0.1100972178,,0.01749009123,,0.3953453744,0.3244830852,0.9788988287,,,,,0.5,1.0,0.2106317525,,,0.493006446,0.6273498209,0.3585617404,0.4334098821,0.5674076859,0.6636226707,0.9087886387,
0.7240851384,,0.5997835019,,0.6573426573,0.5534883721,0.3224619987,0.2978393052,0.02458344851,0.07375581695,0.6455708306,0.4166666667,0.9107200317,0.4372539358,,0.8294936955,,0.2304218927,,0.1548886049,0.01470498517,,0.5057113596,,,1.0,0.2721857608,0.1182241539,0.74448191,,0.735910888,,0.6012618121,0.1683291065,0.5006261604,,0.7887960442
,0.703274917,,0.5467891814,0.2564102564,0.7279069767,0.9759221573,0.5642428553,0.03966303298,0.894328707,0.8285075376,,0.7317481761,0.02708807539,,0.2643425462,0.1165946044,,,0.6886417834,0.2063748606,0.1019172847,0.1761327041,0.1604101127,,0.0,0.3428309012,0.2439342235,0.4681553313,0.217507209,0.7888468598,,,0.2958283292,0.4540052071,0.99179022,0.1708609544
0.1240282321,,0.1891597877,0.1928993846,0.6060606061,0.7534883721,0.7314063043,0.7823771983,0.9523865325,0.7150061898,0.02594115533,,,0.3817515651,0.8571428571,0.2301345709,,0.5867030944,0.6995433504,,0.6449530687,0.8405484256,0.3990556254,0.766992221,1.0,0.5,0.7498494708,0.3198214155,,0.2759991293,,,0.6551661669,0.2200863171,0.4766909296,0.6241311329,0.9451050581
0.6980296426,,0.6813429321,,0.05361305361,0.7209302326,0.4185172605,0.3414023313,0.2224869696,0.3917061681,0.716019139,0.9166666667,0.9437386456,,,0.145404861,0.5706382663,0.5719270133,0.3871438759,0.4678446924,0.3563011006,0.5731413106,0.07680398555,0.902210719,,,0.2069117139,0.1925436408,0.6164449105,0.2019739611,0.8046037386,0.3295341105,0.406669813,0.1617393291,0.3983913551,,0.7785641404
0.01307930287,0.797544248,0.3742070407,0.3181822505,0.4731934732,,0.2189336879,0.8535302033,0.7675544552,0.3941306346,0.5770935894,0.5833333333,0.8747992052,0.9393425431,0.1428571429,,0.5950121862,0.5320543048,0.8163605655,0.008879461404,0.8916273697,0.1889598994,0.7687906133,0.09768346394,0.5,0.5,0.6901608458,0.1897816564,0.5141718477,0.1256029442,,0.3808958307,0.6540478611,0.0943512739,0.2079589652,0.98511064,
0.9278143255,,0.4614292524,0.9297471538,,0.7372093023,,0.5761792665,0.4858853246,0.0119497138,0.09280646056,,0.5788620523,0.6975109329,0.2142857143,0.7120041932,0.7885616327,0.6085684129,0.3497530339,0.4477026653,0.8291869402,0.07451843572,0.05340781348,0.3265063204,,0.5,0.4941170498,,0.7153170076,0.2913912898,0.8843825522,0.4203285674,0.4544122011,0.3528893089,0.2126399584,0.9953210876,0.1291933497
0.4220477812,,0.3781071541,0.246131476,0.4498834499,0.7558139535,,0.9095279595,0.3685714457,,0.9399854225,0.75,0.8985652954,,0.0,0.276382782,0.8967210521,0.1674114512,0.3225671713,0.1350922913,0.06684702435,0.3647823445,0.21238977,0.5325496196,1.0,0.0,0.2832628391,0.07532043472,,,,,,0.1398528743,0.6562756473,0.9374543056,0.4598974696
0.6313074909,0.6278934388,0.003229233756,0.9477064151,0.7062937063,0.1186046512,,0.5021640338,0.7681343621,0.539652883,0.01138367179,,,,0.8571428571,0.1156155219,1.0,0.5019155414,0.0264306268,,0.6149200142,0.444356364,,,0.0,0.0,,,0.2016080665,,0.4924347362,0.8175096444,0.1889451724,0.1992765806,0.9545763059,,0.4238857675
0.9824103977,0.9388066335,0.308269592,0.1278571268,0.09324009324,,0.8893902184,0.7039384013,,,0.6080652864,0.6666666667,0.2195014154,0.6940725611,0.8571428571,0.9863791895,,0.5543596576,0.5767759289,,0.7291214314,0.1160732055,,0.2646113367,0.5,,0.5026281373,0.3767679565,0.7616522241,0.2691576371,0.896010467,0.4613086378,0.496669298,,0.1055869927,0.9924072665,0.1643603275
0.7622118958,0.1029712159,0.6577191024,0.5047942418,0.4289044289,0.9604651163,0.04822949868,0.547644472,0.1031903898,0.488136902,0.2008762524,0.1666666667,,0.515273224,0.7857142857,0.5615922355,,0.4628416977,0.765667459,0.1334696513,0.641103549,0.1634724649,,,1.0,,,,,0.07967413973,0.6975927819,0.1826152083,0.581579784,0.08973336891,0.3511417708,,
0.9846379209,,0.1026063099,0.8009264937,0.365967366,0.8162790698,0.7764023782,0.6090801938,0.5902159978,0.1055863114,0.4224228298,0.4166666667,0.5125367315,,0.9285714286,0.9804086008,,0.719950444,0.8893381709,0.2808622811,0.6824511309,,0.6680670588,0.8410055482,1.0,,0.3972567555,0.1440442221,,0.2123819008,,,0.5622898526,0.08065749944,0.4272527231,0.9490304486,0.4174356279
0.6183765445,0.3551727218,,0.4059974322,0.7319347319,0.9627906977,0.4065207567,0.748230808,0.7976595395,0.02033306232,0.8217404102,0.0,0.7856995296,0.1427805723,0.5714285714,0.3636689262,0.1329202523,,,0.2749001989,0.8032374371,0.7213329598,0.7428194621,0.4480921467,,1.0,0.1736247606,0.2380931302,,0.2346460553,0.6369891534,,0.7796948155,0.1328900819,0.9017668644,0.7303780446,
,0.5304071424,,0.6966018555,0.8671328671,,0.0349327447,0.622873113,0.06207708857,0.8373093533,0.8904023733,0.5,0.6378669865,0.646549865,0.7142857143,0.8606693797,0.6542094818,,,0.2112330536,0.557325739,0.295439475,0.0189923044,0.3974455185,,0.5,0.5774853865,0.3877695209,0.3585117022,0.1737797749,0.6530629963,,,,0.8385155877,0.930273309,0.48392429
,,0.1430761545,,,0.9418604651,,0.7281584843,0.7616932883,0.1279564796,,0.3333333333,0.4862007184,0.7644118477,,0.3298529438,0.6216242738,0.1939852533,0.5608444889,0.3216383974,0.5609265251,0.9843364242,,0.7537527884,,0.5,0.2666280402,,0.8470373476,,0.690422369,0.463600014,0.7497681223,0.06007980147,,0.6850033964,0.900044781
,0.3086588788,0.4935059501,0.596142613,0.1025641026,0.876744186,0.0231997646,0.9133965748,0.7544599754,0.760403499,0.7370136534,0.1666666667,,0.1893956764,0.2142857143,0.599482918,0.8355619552,,0.4547516577,0.4463772546,0.9282333115,0.5146429616,0.9611226162,0.7877137791,0.5,1.0,0.3130728231,,0.7835948998,0.316168554,0.5002681411,0.2689197128,0.8263965076,0.2943553967,0.5127700145,0.8848421948,0.6082618079
0.9934740531,0.7573807636,0.9912170564,0.5809650851,0.2843822844,0.176744186,0.1182706705,0.4240858535,0.5524670585,0.3967186089,0.9303173111,0.6666666667,0.8201567295,0.7172523363,0.1428571429,0.4112680287,0.5467017265,0.129810947,0.4029876142,0.3327226782,0.7140313942,,0.5262025126,0.9343590917,0.5,0.5,0.2427555839,0.336199784,0.6783103968,,0.7631432835,0.3352885534,0.507076418,0.3185130699,0.5509620762,0.621471817,0.9467385067
0.8494986115,0.2121083912,,,0.2867132867,0.009302325581,0.3250970679,,0.8083462535,,0.5965629721,0.3333333333,0.7328549733,0.2055268522,,0.2020076679,0.04237819348,0.3677729496,0.5992956337,0.1446088984,0.7887194771,0.5738457419,0.2440996174,0.2626408511,0.5,0.5,0.3329283398,,0.6153934466,,,0.2450860205,,,,,
0.5421408674,0.2437573529,0.04373162099,0.8783220003,0.4475524476,0.376744186,0.2594318244,,0.08568000353,0.4264333896,0.6838633198,0.3333333333,0.2639773833,,,,0.3079988064,0.03038220787,0.6502827474,,0.9082776175,0.8022390036,0.05763032581,0.03945547103,0.0,0.0,0.5299484046,,0.3738945033,0.1422903016,0.4909199039,0.5088125441,0.3806100551,,0.8560704667,0.6036271132,
0.3518128428,0.3053077533,0.204797075,,0.3286713287,0.9697674419,0.7125922541,0.3695879287,0.1165683128,,0.1078194912,,0.5301460747,,0.1428571429,0.3345754686,0.7103158789,,0.2487546603,,0.8667070054,0.8132397782,0.1135777808,0.1113996454,0.0,0.5,,0.2750667979,0.3754845091,0.1715317221,0.5657462001,,0.3246112274,0.1889967557,0.7024415141,0.6164317398,
0.009675804008,,0.4645887519,,0.3473193473,0.7395348837,0.4367057343,0.8010805143,,0.7197888535,0.5869248968,,,0.8177762366,0.7857142857,0.08930441286,,0.4916433004,0.6131214813,0.3739929645,0.2331994819,,,0.798693874,,1.0,0.349452248,0.2007181351,0.5108576575,0.2009916248,0.3226947639,0.1779049664,,0.1913035383,0.2931990435,,
,0.5012143685,0.228252112,0.6011612454,0.951048951,0.7046511628,0.1567063756,0.4079088575,0.5694915848,0.488136902,0.1006458757,0.5833333333,0.4370345098,0.3061431454,0.6428571429,0.03070336103,0.006198218838,0.2317374935,0.6579957463,,0.9436943987,0.9656995371,0.9574935092,0.4135994967,0.0,0.5,0.6898627618,0.1641842702,0.3146848496,0.3303073697,0.5095150474,0.2858507986,0.3007892462,0.3268122787,0.7196280553,,
,0.6041947347,0.4510778238,,0.8951048951,0.4906976744,0.08112987172,,0.1659184965,0.6638276836,0.9192610325,0.08333333333,0.4668820998,,0.1428571429,0.6414301615,,,0.679035406,0.6040115413,0.1655613508,0.9252854116,0.8984910169,0.7796931305,0.5,1.0,0.3459613313,0.2312760769,0.8449661907,0.1038372593,,0.06390108799,0.8379377124,0.1182403185,0.6461743253,,0.9999078865
0.9599306857,0.7564361095,,0.8183101376,,,0.4355016752,0.7902880592,0.1882694534,,,0.75,0.4402327029,0.2573685445,,,0.1312780747,,0.7529225572,0.4521289575,0.9131502753,0.3968902886,0.03438950593,0.6295941772,0.5,,,,0.6584082727,,0.9248171426,0.5874725906,,0.3533677895,0.2810612222,0.8844849714,0.6090958387
0.3685483292,,0.6529056488,0.980509096,0.7505827506,0.5976744186,0.00251165733,0.6980302985,,0.5328809155,0.4525580222,1.0,0.08627258511,,0.3571428571,0.9355591022,0.1620008131,0.04112377986,0.4631389966,,0.7561500803,0.2597362582,0.5786828802,,1.0,,0.3168728966,0.1124611604,0.6316220155,0.1400927669,,0.1520888677,0.5078590056,0.1510559665,0.5846681214,0.9284568665,0.4897616484
0.7594540306,0.7101829178,0.2563089679,0.6337777266,0.7948717949,0.9697674419,0.08534391169,,0.6437678529,0.8828439404,,0.1666666667,0.2116987458,,0.6428571429,,0.05346889976,0.7332982062,0.2517667959,,,0.7083219786,0.7215835521,0.5261079334,,0.5,0.4089267026,0.2857708693,0.8338537063,0.4002364105,0.7380838366,0.3757642497,0.6984021755,0.3700154555,0.576100437,0.6853429774,0.8997500217
,0.5854798651,0.1628924923,0.1935350664,0.07692307692,0.1069767442,,0.8871804118,0.2795732526,0.8516622474,0.8698266618,,0.7299377364,0.8804065522,0.9285714286,0.7018474785,0.0465557329,,0.1851044664,,,0.5930333837,0.5615814719,0.6418861179,,0.5,0.1042944588,0.2282982425,,0.2087512902,,0.3251318139,0.6422168551,0.1563866994,0.6226741791,,0.822893017
0.0,0.2656739375,0.2503231916,,,0.4558139535,0.3306883912,0.3557809187,0.7470844401,0.07824472236,,0.5,0.8318732542,0.3225216756,,0.2918395515,0.945683977,0.249507275,0.3753152759,0.4011040698,0.4895439884,,,0.5574548704,1.0,0.0,,,0.4063021101,0.2618752211,,,0.6108634498,0.1924340006,0.3213431159,0.9987655713,
0.6387797001,0.7959538479,0.9752318129,0.6468439902,0.6247086247,0.8093023256,0.3687306678,0.6980302985,0.284809442,0.08522424099,0.5024249123,0.5,0.01705894947,0.06568778144,0.3571428571,0.4914928828,0.1927736178,0.3439667448,0.5331615163,0.2077759186,0.9383576783,,0.6701273088,0.9245352628,,0.0,0.3838228695,,0.545022114,0.2595278174,0.5720176484,0.3210402156,0.5072266804,,0.8134604194,0.9748823361,
0.5778686866,0.3720556684,0.09171596046,,0.3776223776,,0.5051918161,0.5301351979,0.9192296752,0.50391242,,0.8333333333,0.8697873172,,0.2857142857,0.3378807885,,0.8507435062,0.0,0.2088842044,,,,,1.0,0.0,0.09412115956,,0.5637082948,,,0.2179715748,0.5070018318,,0.8768938663,0.5299973263,
0.5778686866,0.3720556684,0.04166855903,0.328601425,,0.1627906977,0.5051918161,0.5301351979,,0.50391242,,0.9166666667,0.8851810628,0.9284960652,0.2857142857,,0.3684091105,,0.0,0.2088842044,0.4839832377,0.9575909401,0.227104222,0.9346450838,0.5,,,0.01632939402,0.6271841602,0.1117579996,0.6502665137,0.344521772,,0.1156661902,0.9311487989,,0.9801506272
0.8255135811,0.1224786712,0.4904537342,0.7315315676,0.8717948718,0.5860465116,0.7270810434,0.9853816693,,,0.9488690918,0.25,0.3152957114,0.1836072519,0.07142857143,0.7533884181,0.3721386559,,0.4019881146,0.03519479322,,0.2516759119,0.01530452362,0.3024397987,0.5,1.0,0.1733998909,0.2629785701,,0.2141832855,0.7811336389,0.556919955,0.6434171045,0.1166208302,0.2732072255,0.9785921929,0.2742597074
0.2576282882,0.4832297758,,,0.02564102564,0.2720930233,0.3917240223,0.7875313453,,,0.5837140406,0.6666666667,,0.3221241552,,0.5265425591,,0.6759370112,0.1167296384,0.3327226782,0.1497532167,0.9920966235,0.227104222,,0.0,0.5,0.5856444833,0.3311451773,,,0.3960022312,0.5319057274,,0.1682692319,0.5900257092,0.6403532652,
,,0.4783299819,0.3010756536,0.5011655012,,0.808886925,,0.7597352259,0.6156039206,0.554809326,0.5833333333,0.01161260597,0.0205008925,1.0,0.6279777855,,0.3101566382,0.977476542,0.2317813995,,0.454856496,0.518150869,0.07927129211,1.0,0.0,,0.2377373189,0.6370059398,0.1153078386,0.6495191699,0.163019174,0.5491105618,0.1173411252,0.4881678495,0.9567183174,0.3860531694
0.6561852708,0.2799596518,0.1748395843,,0.8834498834,0.7906976744,0.3577223276,,,,0.6485944619,0.5,0.3824938243,0.521381872,0.9285714286,0.7823980118,0.03217866891,,0.6166120355,0.5706807552,0.0348437039,0.5372076741,0.8270090104,0.5145221072,1.0,1.0,0.2767467608,,0.7807780532,0.2140826896,0.6673553052,,0.6943107902,0.2008831191,0.7088010743,0.7744104327,
0.3921306651,,0.3554563859,0.1070347948,0.2517482517,0.3255813953,0.904386683,0.3914854401,0.8057471886,0.4187191074,,,0.3748932329,0.1871230877,0.9285714286,,0.5512982214,,0.3144962467,0.477909909,0.1033649543,,0.571681364,0.2705313733,,,0.3999086558,0.1637268065,0.4237560761,,0.4488221226,0.2711786994,0.4682359763,0.1860874261,,0.6480715688,0.9291721312
0.06955049712,,0.7378920721,0.6443798474,0.703962704,0.9790697674,0.500548924,,0.7855986763,0.8157534554,0.4471259983,,0.1979702041,,0.1428571429,,0.7274646181,,0.1181483798,0.1298955218,,0.4629445709,0.40003323,0.592601613,0.5,,0.3241394418,0.1905343451,0.6399087035,0.2273130542,0.3130656124,0.4542094959,,,0.1825893404,0.9130007404,0.5360719254
